['-12', '3', '0.015', '0.06', '48', '6', '0.0008', '0.0012', '5', 'True', '257', '60', '23.346303501945524', '4300']
['-12', '3', '0.015', '0.04', '48', '10', '0.0008', '0.0012', '4', 'True', '216', '52', '24.074074074074073', '4400']
['-12', '3', '0.015', '0.06', '48', '6', '0.0008', '0.0012', '4', 'True', '266', '62', '23.308270676691727', '4400']
['-12', '3', '0.015', '0.08', '48', '6', '0.0008', '0.0012', '6', 'True', '251', '59', '23.50597609561753', '4400']
['-12', '3', '0.015', '0.06', '48', '6', '0.0008', '0.0012', '6', 'True', '250', '59', '23.599999999999998', '4500']
['-12', '3', '0.015', '0.06', '48', '10', '0.0008', '0.0012', '5', 'True', '219', '53', '24.200913242009133', '4600']
['-12', '3', '0.015', '0.04', '48', '10', '0.0008', '0.0012', '6', 'True', '203', '50', '24.63054187192118', '4700']
['-12', '3', '0.015', '0.06', '48', '10', '0.0008', '0.0012', '6', 'True', '213', '52', '24.413145539906104', '4700']
['-12', '3', '0.015', '0.06', '48', '10', '0.0008', '0.0012', '4', 'True', '227', '55', '24.229074889867842', '4800']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149', '4900']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '5', 'True', '221', '54', '24.43438914027149', '4900']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'True', '215', '53', '24.651162790697676', '5000']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '6', 'True', '215', '53', '24.651162790697676', '5000']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '4', 'True', '229', '56', '24.45414847161572', '5100']
['-12', '3', '0.015', '0.08', '48', '10', '0.0008', '0.0012', '4', 'True', '229', '56', '24.45414847161572', '5100']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '5', 'True', '246', '60', '24.390243902439025', '5400']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '4', 'True', '255', '62', '24.313725490196077', '5500']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '6', 'True', '240', '60', '25.0', '6000']

['-12', '3', '0.015', '0.06', '48', '6', '0.0006', '0.0012', '4', 'True', 'True', '263', '63', '23.954372623574145', '5200']
['-12', '2', '0.015', '0.06', '36', '8', '0.0006', '0.001', '4', 'True', 'True', '202', '51', '25.247524752475247', '5300']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.001', '4', 'True', 'False', '152', '41', '26.973684210526315', '5300']
['-12', '3', '0.015', '0.06', '48', '10', '0.0006', '0.001', '4', 'True', 'False', '132', '37', '28.030303030303028', '5300']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.001', '4', 'True', 'False', '132', '37', '28.030303030303028', '5300']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '5', 'True', '246', '60', '24.390243902439025', '5400']
['-12', '3', '0.015', '0.08', '48', '8', '0.0006', '0.0012', '4', 'True', 'True', '231', '57', '24.675324675324674', '5400']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '4', 'True', '255', '62', '24.313725490196077', '5500']
['-12', '3', '0.015', '0.04', '48', '6', '0.0006', '0.001', '4', 'True', 'False', '150', '41', '27.333333333333332', '5500']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '4', 'True', 'True', '255', '62', '24.313725490196077', '5500']
['-12', '3', '0.015', '0.06', '48', '8', '0.0006', '0.0012', '4', 'True', 'True', '230', '57', '24.782608695652176', '5500']
['-12', '3', '0.015', '0.06', '48', '10', '0.0006', '0.0012', '4', 'True', 'True', '219', '55', '25.11415525114155', '5600']
['-12', '3', '0.015', '0.04', '48', '8', '0.0006', '0.001', '4', 'True', 'False', '138', '39', '28.26086956521739', '5700']
['-12', '3', '0.015', '0.04', '48', '10', '0.0006', '0.001', '4', 'True', 'False', '128', '37', '28.90625', '5700']
['-12', '3', '0.015', '0.08', '48', '10', '0.0006', '0.0012', '4', 'True', 'True', '221', '56', '25.339366515837103', '5900']
['-12', '3', '0.015', '0.04', '48', '6', '0.0008', '0.0012', '6', 'True', '240', '60', '25.0', '6000']
['-12', '3', '0.015', '0.04', '48', '6', '0.0006', '0.0012', '4', 'True', 'True', '252', '63', '25.0', '6300']
ALL MATIC DATA
['-12', '3', '0.015', '0.04', '48', '10', '0.0006', '0.0012', '4', 'True', 'True', '513', '121', '23.586744639376217', '9200']
['-12', '3', '0.015', '0.06', '48', '8', '0.0008', '0.0012', '4', 'True', 'True', '638', '146', '22.884012539184955', '9200']
['-12', '3', '0.015', '0.04', '48', '6', '0.0006', '0.0012', '4', 'True', 'True', '637', '146', '22.919937205651493', '9300']
['-12', '3', '0.015', '0.06', '48', '8', '0.0006', '0.0012', '4', 'True', 'True', '627', '145', '23.125996810207337', '9800']
['-12', '3', '0.015', '0.06', '48', '10', '0.0008', '0.0012', '4', 'True', 'True', '582', '136', '23.367697594501717', '9800']
['-12', '3', '0.015', '0.06', '48', '10', '0.0006', '0.0012', '4', 'True', 'True', '574', '138', '24.041811846689896', '11600']
ADA DATA


['data_5min/xrp_usd_5min_data4.csv', '-13', '4', '0.025', '0.065', '80', '8', '0.0006', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '43', '10', '23.25581395348837', '350']
['data_5min/xrp_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '140', '30', '21.428571428571427', '500']
['data_5min/xrp_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '124', '27', '21.774193548387096', '550']
['data_5min/xrp_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '143', '32', '22.377622377622377', '850']

['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '143', '35', '24.475524475524477', '1600']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '237', '54', '22.78481012658228', '1650']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '172', '41', '23.837209302325583', '1650']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '102', '27', '26.47058823529412', '1650']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0009', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '115', '30', '26.08695652173913', '1750']
['data_5min/sol_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '140', '35', '25.0', '1750']
['data_5min/sol_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '115', '30', '26.08695652173913', '1750']
['data_5min/sol_usd_5min_data4.csv', '-13', '2', '0.015', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '458', '99', '21.61572052401747', '1850']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '140', '36', '25.71428571428571', '2000']
